player,pos,team,rank,adp
Jordan Williams,RB,KC,69,67.4
Trevor Johnson,RB,BUF,70,70.0
Eric Johnson,RB,TEN,71,68.3
Adam Miller,RB,IND,72,71.4
Eric Davis,RB,BAL,73,70.0
Josh Martinez,RB,ATL,74,72.5
Chris Martinez,RB,SEA,75,76.3
Nick Wilson,RB,DEN,76,76.2
David Lopez,RB,PIT,77,78.3
Brandon Davis,RB,NO,78,75.9
Nick Davis,RB,BUF,79,77.4
John Taylor,RB,BUF,80,78.6
Devin Taylor,RB,LV,81,80.9
Jordan Taylor,RB,TEN,82,81.7
John Hernandez,RB,MIA,83,85.5
Tyler Smith,RB,TEN,84,85.3
Aaron Thomas,WR,CIN,85,87.2
Brandon Thomas,WR,LAC,86,87.9
David Smith,WR,HOU,87,89.7
Tyler Williams,WR,NO,88,85.3
Nick Anderson,WR,MIA,89,88.1
Eric Anderson,WR,DEN,90,89.2
Michael Moore,WR,BUF,91,89.3
James Jones,WR,BUF,92,93.9
Adam Garcia,WR,DAL,93,92.9
Marcus Jackson,WR,LAR,94,93.6
Tyler Taylor,WR,ARI,95,96.4
Jordan Brown,WR,DEN,96,94.9
David Brown,WR,GB,97,95.7
Jordan Miller,WR,ATL,98,99.8
Nick Brown,WR,MIA,99,99.4
Josh Miller,WR,SEA,100,102.0
Devin Smith,WR,DEN,101,102.2
James Brown,WR,MIA,102,101.1
Nick Johnson,WR,LV,103,101.4
David Martinez,WR,DAL,104,101.2
Aaron Jones,WR,LV,105,102.0
Trevor Thomas,WR,LAC,106,105.1
Justin Brown,WR,NYJ,107,108.2
John Martinez,WR,MIA,108,109.9
Nick Williams,WR,LAC,109,106.3
Brandon Jackson,WR,NYJ,110,109.1
Jordan Hernandez,WR,MIA,111,111.8
Sam Anderson,WR,MIA,112,111.2
Nick Garcia,WR,JAX,113,113.6
Devin Anderson,WR,WAS,114,115.7
Jordan Lopez,WR,BUF,115,113.1
Sam Johnson,WR,BUF,116,115.1
David Garcia,WR,PIT,117,115.0
Adam Wilson,WR,DAL,118,118.2
Ryan Moore,WR,SEA,119,117.6
Sam Lee,WR,DET,120,118.3
Brandon Jones,WR,JAX,121,119.5
James Jackson,WR,KC,122,121.1
Justin Miller,WR,GB,123,123.9
John Miller,WR,PIT,124,123.1
Brandon Brown,WR,MIA,125,122.6
John Jackson,WR,TB,126,125.8
Michael Jackson,WR,DEN,127,129.9
Sam Davis,WR,LAR,128,130.3
Devin Jones,WR,ATL,129,126.5
Kevin Martin,WR,SEA,130,129.6
Kevin Wilson,WR,LAC,131,131.5
Ryan Thomas,WR,SF,132,131.6
Josh Rodriguez,WR,BUF,133,132.1
Ryan Anderson,WR,CIN,134,132.7
Josh Jackson,WR,CLE,135,134.6
Tyler Brown,WR,CLE,136,134.1
David Johnson,WR,SF,137,137.3
Sam Smith,WR,ATL,138,140.5
Nick Miller,WR,NYJ,139,137.5
Ryan Smith,WR,MIA,140,141.9
Marcus Anderson,WR,BAL,141,143.0
Justin Martin,WR,BUF,142,142.4
Jordan Lee,WR,ARI,143,143.1
Chris Davis,WR,CLE,144,143.8
Eric Brown,WR,NYJ,145,143.9
Aaron Lopez,WR,LAC,146,148.3
Tyler Lee,WR,DAL,147,148.0
Adam Williams,WR,CIN,148,147.7
John Lopez,WR,CHI,149,148.8
Justin Lopez,WR,JAX,150,152.8
Michael Williams,WR,LV,151,148.9
Kevin Martinez,WR,CLE,152,154.9
James Moore,WR,MIA,153,154.1
Ryan Martinez,WR,TEN,154,153.6
Tyler Moore,TE,CAR,155,157.5
Ryan Davis,TE,PHI,156,153.1
Devin Martin,TE,CLE,157,154.0
Josh Moore,TE,NYJ,158,156.1
James Martin,TE,JAX,159,161.8
Marcus Hernandez,TE,CLE,160,158.9
Devin Garcia,TE,LV,161,162.7
Chris Jones,TE,ARI,162,159.5
Aaron Williams,TE,JAX,163,161.0
Adam Lopez,TE,MIA,164,165.5
Aaron Wilson,TE,NYJ,165,167.2
David Jones,TE,PIT,166,167.0
Chris Lee,TE,PIT,167,164.4
Tyler Wilson,TE,SEA,168,166.3
Chris Johnson,TE,LV,169,168.9
Brandon Taylor,TE,IND,170,167.4
Chris Wilson,TE,HOU,171,170.0
Jordan Jones,TE,MIA,172,173.8
Eric Miller,TE,CAR,173,175.3
Josh Anderson,TE,WAS,174,176.0
James Johnson,TE,LAR,175,175.8
Eric Lopez,TE,MIN,176,174.9
Kevin Smith,TE,MIA,177,175.2
Adam Moore,TE,HOU,178,180.3
Kevin Lee,DEF,BAL,179,178.1
Brandon Hernandez,DEF,IND,180,181.4
Devin Martinez,DEF,MIN,181,182.0
Aaron Miller,DEF,DET,182,184.4
Michael Jones,DEF,MIA,183,185.1
Kevin Lopez,DEF,MIN,184,184.3
Aaron Brown,DEF,BAL,185,182.3
James Miller,DEF,BUF,186,185.7
Justin Williams,DEF,BUF,187,184.5
David Williams,DEF,CHI,188,185.6
Marcus Garcia,DEF,IND,189,186.8
Marcus Smith,DEF,CAR,190,188.4
